ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-08-30,548.5929481813977,502.9419298625786,634.8621158486227,548.5929481813977,548.5929481813977,20.911100068724725,20.911100068724725,20.911100068724725,0.040029522192687024,0.040029522192687024,0.040029522192687024,20.87107054653204,20.87107054653204,20.87107054653204,0.0,0.0,0.0,569.5040482501224
2019-08-31,548.6169248928995,499.16498608675516,630.2489230262942,548.6169248928995,548.6169248928995,15.493648824004874,15.493648824004874,15.493648824004874,-0.1150505358922957,-0.1150505358922957,-0.1150505358922957,15.60869935989717,15.60869935989717,15.60869935989717,0.0,0.0,0.0,564.1105737169044
2019-09-01,548.6409016044013,491.4273607123897,624.5886575995044,548.6409016044013,548.6409016044013,10.121979606300291,10.121979606300291,10.121979606300291,-0.08353906302928743,-0.08353906302928743,-0.08353906302928743,10.205518669329578,10.205518669329578,10.205518669329578,0.0,0.0,0.0,558.7628812107016
2019-09-02,548.6648783159031,489.08598579634986,617.0476274816106,548.6648783159031,548.6648783159031,4.858544408948184,4.858544408948184,4.858544408948184,0.1992488456948553,0.1992488456948553,0.1992488456948553,4.659295563253329,4.659295563253329,4.659295563253329,0.0,0.0,0.0,553.5234227248513
2019-09-03,548.688855027405,484.275292984321,614.8065188467773,548.688855027405,548.688855027405,-1.0147359201606396,-1.0147359201606396,-1.0147359201606396,0.01657240228819589,0.01657240228819589,0.01657240228819589,-1.0313083224488355,-1.0313083224488355,-1.0313083224488355,0.0,0.0,0.0,547.6741191072443
2019-09-04,548.7128317389069,480.16825735928194,605.5272380128335,548.7128317389069,548.7128317389069,-6.988186127355784,-6.988186127355784,-6.988186127355784,-0.12148259635477149,-0.12148259635477149,-0.12148259635477149,-6.866703531001013,-6.866703531001013,-6.866703531001013,0.0,0.0,0.0,541.7246456115511
2019-09-05,548.7368084504087,469.3549573049809,600.1126091117337,548.7368084504087,548.7368084504087,-12.782133631216587,-12.782133631216587,-12.782133631216587,0.06422142509972827,0.06422142509972827,0.06422142509972827,-12.846355056316314,-12.846355056316314,-12.846355056316314,0.0,0.0,0.0,535.9546748191922
2019-09-06,548.7607851619105,462.22610440057383,597.3645446552332,548.7607851619105,548.7607851619105,-18.928750358733357,-18.928750358733357,-18.928750358733357,0.04002952219252299,0.04002952219252299,0.04002952219252299,-18.96877988092588,-18.96877988092588,-18.96877988092588,0.0,0.0,0.0,529.8320348031771
2019-09-07,548.7847618734122,463.6530879409029,589.3653677717286,548.7847618734122,548.7847618734122,-25.346609640983424,-25.346609640983424,-25.346609640983424,-0.11505053589207438,-0.11505053589207438,-0.11505053589207438,-25.23155910509135,-25.23155910509135,-25.23155910509135,0.0,0.0,0.0,523.4381522324288
2019-09-08,548.8087385849142,456.7689106927199,583.7231254329902,548.8087385849142,548.8087385849142,-31.714902684668505,-31.714902684668505,-31.714902684668505,-0.08353906302912859,-0.08353906302912859,-0.08353906302912859,-31.631363621639377,-31.631363621639377,-31.631363621639377,0.0,0.0,0.0,517.0938359002457
2019-09-09,548.8327152964159,441.40438201966623,579.4413211524972,548.8327152964159,548.8327152964159,-37.9647431149703,-37.9647431149703,-37.9647431149703,0.19924884569486756,0.19924884569486756,0.19924884569486756,-38.16399196066517,-38.16399196066517,-38.16399196066517,0.0,0.0,0.0,510.8679721814456
2019-09-10,548.8566920079178,443.1739373652264,571.1128114981204,548.8566920079178,548.8566920079178,-44.80784624435026,-44.80784624435026,-44.80784624435026,0.01657240228837245,0.01657240228837245,0.01657240228837245,-44.824418646638634,-44.824418646638634,-44.824418646638634,0.0,0.0,0.0,504.04884576356756
2019-09-11,548.8806687194196,435.52647693820364,562.1967019541594,548.8806687194196,548.8806687194196,-51.72833377986814,-51.72833377986814,-51.72833377986814,-0.12148259635455967,-0.12148259635455967,-0.12148259635455967,-51.606851183513584,-51.606851183513584,-51.606851183513584,0.0,0.0,0.0,497.1523349395515
2019-09-12,548.9046454309214,427.97256481814287,548.6377433943944,548.9046454309214,548.9046454309214,-58.44057219561254,-58.44057219561254,-58.44057219561254,0.06422142509991777,0.06422142509991777,0.06422142509991777,-58.50479362071246,-58.50479362071246,-58.50479362071246,0.0,0.0,0.0,490.46407323530883
2019-09-13,548.9286221424233,419.6038424203753,547.1835374839987,548.9286221424233,548.9286221424233,-65.47108503211841,-65.47108503211841,-65.47108503211841,0.040029522192358946,0.040029522192358946,0.040029522192358946,-65.51111455431077,-65.51111455431077,-65.51111455431077,0.0,0.0,0.0,483.4575371103048
2019-09-14,548.9525988539251,413.64459195368363,545.6867844692817,548.9525988539251,548.9525988539251,-72.73316792669699,-72.73316792669699,-72.73316792669699,-0.11505053589215317,-0.11505053589215317,-0.11505053589215317,-72.61811739080484,-72.61811739080484,-72.61811739080484,0.0,0.0,0.0,476.21943092722813
2019-09-15,548.976575565427,401.72632063243645,530.7233271066705,548.976575565427,548.976575565427,-79.90114980323023,-79.90114980323023,-79.90114980323023,-0.08353906302941412,-0.08353906302941412,-0.08353906302941412,-79.8176107402008,-79.8176107402008,-79.8176107402008,0.0,0.0,0.0,469.07542576219674
2019-09-16,549.0005522769288,399.54329381424463,524.2762177173909,549.0005522769288,549.0005522769288,-86.9017280670329,-86.9017280670329,-86.9017280670329,0.19924884569490198,0.19924884569490198,0.19924884569490198,-87.10097691272782,-87.10097691272782,-87.10097691272782,0.0,0.0,0.0,462.09882420989595
2019-09-17,549.0245289884306,391.1195613911906,522.4578914635529,549.0245289884306,549.0245289884306,-94.44266426193377,-94.44266426193377,-94.44266426193377,0.016572402288225995,0.016572402288225995,0.016572402288225995,-94.459236664222,-94.459236664222,-94.459236664222,0.0,0.0,0.0,454.5818647264968
2019-09-18,549.0485056999324,382.2253492549308,513.9376034226331,549.0485056999324,549.0485056999324,-102.00459115857196,-102.00459115857196,-102.00459115857196,-0.12148259635458578,-0.12148259635458578,-0.12148259635458578,-101.88310856221737,-101.88310856221737,-101.88310856221737,0.0,0.0,0.0,447.0439145413605
